########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
"DWR>/"		sp=nmpr:sm=topo:vc=D.W.R@>:gl=Dura
"DWC["		sp=verb:vc=D.W.C:gl=trample upon
"DXWH/"		sp=subs:vc=D.AX\:AW@H:gl=<uncertain>
"DXL["		sp=verb:vc=D.\:XAL:gl=fear
"DJ"		sp=prep:vc=D.IJ:gl=<relative>
"DJN["		sp=verb:vc=D.IJN:gl=judge
"DJN/"		sp=subs:gn=m:vc=D.IJN:gl=judgement
"DJN=/"		sp=subs:vc=D.AJ.@N:gl=judge
"DJNJ/"		sp=adjv:rt=DJN:vc=D.IJN@J:gl=<uncertain>:kb=D.IJN@J;>
"DK"		sp=prde:nu=s:gn=m:vc=D.;K\::gl=that
"DK="		sp=prde:nu=s:gn=f:vc=D.@K\::gl=that
"DKN"		sp=prde:gn=unknown:nu=s:vc=D.IK.;N:gl=that
"DKR/"		sp=subs:vc=D.\:KAR:gl=ram
"DKRWN/"	sp=subs:gn=m:vc=D.IK\:ROWN:gl=memorandum
"DKRN/"		sp=subs:vc=D.@K\:R@N:gl=memorandum
"DLQ["		sp=verb:vc=D.\:LAQ:gl=burn
"DMH["		sp=verb:vc=D.\:M@H:gl=resemble
"DNH"		sp=prde:nu=s:gn=m:vc=D.\:N@H:gl=this
"DNJ>L/"	sp=nmpr:sm=pers:gn=m:vc=D.@NIJ.;>L:gl=Daniel
"DQQ["		sp=verb:vc=D.\:QAQ:gl=crush
"DR/"		sp=subs:gn=m:vc=D.@R:gl=generation
"DRJWC/"	sp=nmpr:sm=pers:gn=m:vc=D.@R\:J@WEC:gl=Darius
"DR</"		sp=subs:gn=f:vc=D.\:R@<:gl=arm
"DT/"		sp=subs:gn=f:vc=D.@T:gl=law
"DT>/"		sp=subs:gn=m:vc=D.ETE>:gl=vegetation
"DTBR/"		sp=subs:vc=D.\:T@BAR:gl=law official
"H"		sp=inrg:ls=ques:vc=H\:A:gl=<interrogative>
"H>"		sp=intj:vc=H@>:gl=behold
"H>="		sp=intj:vc=H;>:gl=<idiomatic prefix>
"HDBR/"		sp=subs:vc=HAD.@BAR:gl=companion
"HDM/"		sp=subs:vc=HAD.@M:gl=limb
"HDR["		sp=verb:vc=H\:ADAR:gl=honour
"HDR/"		sp=subs:gn=m:vc=H\:ADAR:gl=glory
"HW>"		sp=prps:sm=ppde:ps=3:nu=s:gn=m:vc=HW.>:gl=he
"HWH["		sp=verb:ls=vbcp:vc=H\:AW@H:gl=be
"HJ>"		sp=prps:ps=3:nu=s:gn=f:vc=HIJ>:gl=she
"HJKL/"		sp=subs:gn=m:vc=H;JKAL:gl=palace
"HLK["		sp=verb:vc=H\:ALAK\::gl=go
"HLK/"		sp=subs:gn=m:vc=H\:AL@K\::gl=tax
"HMW"		sp=prps:ps=3:nu=p:gn=m:vc=HIM.OW:gl=they
"HMWN"		sp=prps:ps=3:nu=p:gn=m:vc=HIM.OWN:gl=they
"HMNJK/"	sp=subs:gn=m:vc=HAM\:NIJK\::gl=necklace
"HN"		sp=conj:vc=H;N:gl=if
"HRHR/"		sp=subs:vc=HAR\:HOR:gl=imagining
"W"		sp=conj:vc=W\::gl=and
"ZBN["		sp=verb:vc=Z\:BAN:gl=buy
"ZHJR/"		sp=adjv:vc=Z\:HIJR:gl=cautious
"ZWN["		sp=verb:vc=ZW.N:gl=feed
"ZW<["		sp=verb:vc=ZW.<A:gl=tremble
"ZJD["		sp=verb:vc=ZIJD:gl=flow over
"ZJW/"		sp=subs:gn=m:vc=ZIJW:gl=brightness
"ZKW/"		sp=subs:gn=f:vc=Z@KW.:gl=innocence
"ZKRJH/"	sp=nmpr:sm=pers:gn=m:vc=Z\:KAR\:J@H:gl=Zechariah
"ZMN["		sp=verb:vc=Z\:MAN:gl=arrange
"ZMN/"		sp=subs:gn=m:vc=Z\:M@N:gl=time
"ZMR/"		sp=subs:gn=m:vc=Z\:M@R:gl=music for strings
"ZMR=/"		sp=subs:vc=ZAM.@R:gl=musician
"ZN/"		sp=subs:vc=ZAN:gl=sort
"Z<JR/"		sp=adjv:vc=Z\:<;JR:gl=small
"Z<Q["		sp=verb:vc=Z\:<IQ:gl=cry
"ZQP["		sp=verb:vc=Z\:QAP:gl=erect
"ZRBBL/"	sp=nmpr:sm=pers:gn=m:vc=Z\:RUB.@BEL:gl=Zerubbabel
"ZR</"		sp=subs:gn=m:vc=Z\:RA<:gl=seed
"XBWLH/"	sp=subs:vc=X\:ABW.L@H:gl=harm
